Extracting ./../../data/train-images-idx3-ubyte.gz
Extracting ./../../data/train-labels-idx1-ubyte.gz
Extracting ./../../data/t10k-images-idx3-ubyte.gz
Extracting ./../../data/t10k-labels-idx1-ubyte.gz
Epoch: 263, Train error: 0.04973, test error: 0.06250
Epoch: 264, Train error: 0.04956, test error: 0.06280
Epoch: 265, Train error: 0.04931, test error: 0.06190
Epoch: 266, Train error: 0.04938, test error: 0.06140
Epoch: 267, Train error: 0.04960, test error: 0.06110
Epoch: 268, Train error: 0.04978, test error: 0.06150
Epoch: 269, Train error: 0.04933, test error: 0.06170
Epoch: 270, Train error: 0.04911, test error: 0.06150
Epoch: 271, Train error: 0.04938, test error: 0.06200
Epoch: 272, Train error: 0.04942, test error: 0.06070
Epoch: 273, Train error: 0.04964, test error: 0.06200
Epoch: 274, Train error: 0.04956, test error: 0.06180
Epoch: 275, Train error: 0.04960, test error: 0.06170
Epoch: 276, Train error: 0.04993, test error: 0.06220
Epoch: 277, Train error: 0.04895, test error: 0.06200
Epoch: 278, Train error: 0.04964, test error: 0.06280
Epoch: 279, Train error: 0.04964, test error: 0.06120
Epoch: 280, Train error: 0.04911, test error: 0.06280
Epoch: 281, Train error: 0.04887, test error: 0.06150
Plot model_2b.eps saved in image folder
Confusion matrix model_2b_confusion_matrix.eps saved in image folder
model_2b saved to ./../../save/np/model_2b.pickle
